Date,Titans 30 Price (USD),,,,,,,
1/22/2020,1725.65,,,,,,,
1/23/2020,1719.94,,,,,,,
1/24/2020,1734.47,,,,,,,
1/27/2020,1691.01,,,,,,,
1/28/2020,1732.68,,,,,,,
1/29/2020,1741.31,,,,,,,
1/30/2020,1716.91,,,,,,,
1/31/2020,1685.17,,,,,,,
2/3/2020,1696.37,,,,,,,
2/4/2020,1723.13,,,,,,,
2/5/2020,1746.97,,,,,,,
2/6/2020,1762.09,,,,,,,
2/7/2020,1757.7,,,,,,,
2/10/2020,1752.05,,,,,,,
2/11/2020,1764.7,,,,,,,
2/12/2020,1776.64,,,,,,,
2/13/2020,1769.92,,,,,,,
2/14/2020,1763.89,,,,,,,
2/17/2020,1778.59,,,,,,,
2/18/2020,1783.77,,,,,,,
2/19/2020,1796.27,,,,,,,
2/20/2020,1770.6,,,,,,,
2/21/2020,1755.35,,,,,,,
2/24/2020,1661.82,,,,,,,
2/25/2020,1641.36,,,,,,,
2/26/2020,1665.35,,,,,,,
2/27/2020,1637.35,,,,,,,
2/28/2020,1578.65,,,,,,,
3/2/2020,1572.63,,,,,,,
3/3/2020,1582.98,,,,,,,
3/4/2020,1588.13,,,,,,,
3/5/2020,1566.36,,,,,,,
3/6/2020,1524.98,,,,,,,
3/9/2020,1364.86,,,,,,,
3/10/2020,1315.21,,,,,,,
3/11/2020,1314.49,,,,,,,
3/12/2020,1076.1,,,,,,,
3/13/2020,1150.16,,,,,,,
3/16/2020,1081.98,,,,,,,
3/17/2020,1090.55,,,,,,,
3/18/2020,1059.39,,,,,,,
3/19/2020,1073.48,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Source: S&P Dow Jones Indices LLC.

The launch date of the Dow Jones Italy Titans 30 Index (USD) was April 12, 2002.

All information presented prior to the index launch date is back-tested. Back-tested performance is not actual performance, but is hypothetical. The back-test calculations are based on the same methodology that was in effect when the index was officially launched. Past performance is not an indication or guarantee of future results.  Please see the Performance Disclosure at http://www.spindices.com/regulatory-affairs-disclaimers/ for more information regarding the inherent limitations associated with back-tested performance.

Copyright © 2020 S&P Dow Jones Indices LLC. All rights reserved. Redistribution or reproduction in whole or in part are prohibited without written permission. STANDARD & POOR’S and S&P are registered trademarks of Standard & Poor’s Financial Services LLC (“S&P”); DOW JONES is a registered trademark of Dow Jones Trademark Holdings LLC (“Dow Jones”); and these trademarks have been licensed for use by S&P Dow Jones Indices LLC. S&P Dow Jones Indices LLC, Dow Jones, S&P and their respective affiliates (“S&P Dow Jones Indices”) and third party licensors makes no representation or warranty, express or implied, as to the ability of any index to accurately represent the asset class or market sector that it purports to represent and S&P Dow Jones Indices and its third party licensors shall have no liability for any errors, omissions, or interruptions of any index or the data included therein. Past performance of an index is not an indication or guarantee of future results. This document does not constitute an offer of any services. Except for certain custom index calculation services, all information provided by S&P Dow Jones Indices is general in nature and not tailored to the needs of any person, entity or group of persons. S&P Dow Jones Indices receives compensation in connection with licensing its indices to third parties and providing custom calculation services. It is not possible to invest directly in an index. Exposure to an asset class represented by an index may be available through investable instruments offered by third parties that are based on that index. S&P Dow Jones Indices does not sponsor, endorse, sell, promote or manage any investment fund or other investment product or vehicle that seeks to provide an investment return based on the performance of any Index. S&P Dow Jones Indices LLC is not an investment or tax advisor. S&P Dow Jones Indices makes no representation regarding the advisability of investing in any such investment fund or other investment product or vehicle. A tax advisor should be consulted to evaluate the impact of any tax-exempt securities on portfolios and the tax consequences of making any particular investment decision. Credit-related information and other analyses, including ratings, are generally provided by licensors and/or affiliates of S&P Dow Jones Indices. Any credit-related information and other related analyses and statements are opinions as of the date they are expressed and are not statements of fact. S&P Dow Jones Indices LLC is analytically separate and independent from any other analytical department. For more information on any of our indices please visit www.spdji.com.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
